ID	Gal	U	B	V	R	I	J	H	K	3.6	4.5	5.8	8.0	F_U_Jy	F_B_Jy	F_V_Jy	F_R_Jy	F_I_Jy	F_J_Jy	F_H_Jy	F_K_Jy	F_3.6_Jy	F_4.5_Jy	F_5.8_Jy	F_8.0_Jy	lam_F_0.36_um	F_0.44_um	lam_F_0.44_um	F_0.55_um	lam_F_0.55_um	F_0.71_um	lam_F_0.71_um	F_0.97_um	lam_F_0.97_um	F_1.24_um	lam_F_1.24_um	F_1.66_um	lam_F_1.66_um	F_2.16_um	lam_F_2.16_um	F_3.55_um	lam_F_3.55_um	F_4.44_um	lam_F_4.44_um	F_5.73_um	lam_F_5.73_um	F_7.87_um	lam_F_7.87_um
J003711.98+395445.2	M31	18.41	18.62	18.06	17.7	17.31	16.84	16.423	16.006	99.99	99.99	99.99	99.99	7.88472713977e-05	0.000147214318105	0.000225739041857	0.000244621725081	0.000313892269115	0.00029274421193	0.000276121330027	0.000263955341593	99.99	99.99	99.99	99.99	6.57060594981e-13	2.281213607e-12	1.00373398708e-12	2.23873429941e-12	1.23130386468e-12	1.45579284912e-12	1.03361292288e-12	1.00082560032e-12	9.70800832315e-13	5.75805298096e-13	7.11119543149e-13	2.99888058434e-13	4.98413953117e-13	1.69881632276e-13	3.66774444084e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003725.57+400731.9	M31	18.7	18.97	18.47	18.16	17.82	99.99	99.99	99.99	99.99	99.99	99.99	99.99	6.03652034463e-05	0.000106647345873	0.000154741455444	0.000160138230201	0.000196236875124	99.99	99.99	99.99	99.99	99.99	99.99	99.99	5.03043362052e-13	1.65259316952e-12	7.2714099459e-13	1.5346260044e-12	8.44044302421e-13	9.53014660986e-13	6.766404093e-13	6.25688835554e-13	6.06918170487e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003745.26+395823.6	M31	18.01	17.75	17.16	16.82	16.42	15.945	15.611	15.453	99.99	99.99	99.99	99.99	0.000113968981893	0.000328057560941	0.000517138268958	0.000550167617482	0.000712493028943	0.000667556942798	0.000583310718301	0.00043926889857	99.99	99.99	99.99	99.99	9.49741515775e-13	5.08353658483e-12	2.23675609733e-12	5.12864398966e-12	2.82075419432e-12	3.27415761247e-12	2.32465190485e-12	2.27173885304e-12	2.20358668745e-12	1.31303304653e-12	1.62159581246e-12	6.33518311526e-13	1.05290743376e-12	2.82713420562e-13	6.10378274992e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003907.59+402628.4	M31	18.0	17.6	16.74	16.31	15.86	15.273	14.776	14.896	99.99	99.99	99.99	99.99	0.000115023523899	0.000376660476654	0.000761389138873	0.000880025029626	0.00119338512305	0.00123961926512	0.00125863544121	0.000733720165121	99.99	99.99	99.99	99.99	9.58529365823e-13	5.83668093989e-12	2.56813961355e-12	7.55096666651e-12	4.15303166658e-12	5.23720509597e-12	3.71841561814e-12	3.8050328081e-12	3.69088182385e-12	2.43823553598e-12	3.01122088694e-12	1.36697059479e-12	2.27190512854e-12	4.72222227187e-13	1.0195277885e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003922.08+402031.5	M31	18.27	18.54	18.36	18.22	18.06	99.99	99.99	99.99	99.99	99.99	99.99	99.99	8.96988073547e-05	0.000158471092388	0.000171240574962	0.000151528744371	0.000157318798015	99.99	99.99	99.99	99.99	99.99	99.99	99.99	7.47490061289e-13	2.45564709279e-12	1.08048472083e-12	1.69825363598e-12	9.3403949979e-13	9.01777887551e-13	6.40262300161e-13	5.0160101397e-13	4.86552983551e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003926.72+402239.4	M31	17.77	18.15	18.07	17.99	17.9	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.000142163029148	0.000226960380903	0.000223669453882	0.000187281562699	0.000182297460837	99.99	99.99	99.99	99.99	99.99	99.99	99.99	1.18469190957e-12	3.51694805119e-12	1.54745714252e-12	2.21820945998e-12	1.22001520299e-12	1.11455006566e-12	7.91330546616e-13	5.81243896813e-13	5.63806579909e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003930.55+403135.2	M31	19.44	18.93	18.15	17.72	17.3	99.99	99.99	99.99	99.99	99.99	99.99	99.99	3.053420863e-05	0.000110649651815	0.000207781404406	0.000240156875417	0.000316796678522	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2.54451738583e-13	1.71461237317e-12	7.54429444193e-13	2.06064202716e-12	1.13335311494e-12	1.42922163509e-12	1.01474736092e-12	1.01008612559e-12	9.7978354182e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003930.79+401841.1	M31	17.53	17.36	16.9	16.65	16.39	15.91	15.889	14.995	99.99	99.99	99.99	99.99	0.000177331818895	0.000469840069045	0.00065706249335	0.000643420693604	0.000732454446055	0.00068942704667	0.000451543876045	0.000669777347379	99.99	99.99	99.99	99.99	1.47776515745e-12	7.28057958231e-12	3.20345501622e-12	6.5163222481e-12	3.58397723646e-12	3.82912533388e-12	2.71867898706e-12	2.33538456602e-12	2.26532302903e-12	1.35604985495e-12	1.67472157086e-12	4.904098364e-13	8.15061148096e-13	4.31068635883e-13	9.30677184871e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003934.02+404714.2	M31	17.79	17.81	17.21	16.81	16.39	15.835	15.577	15.275	99.99	99.99	99.99	99.99	0.00013956826144	0.00031042025523	0.000493863212803	0.000555258255769	0.000732454446055	0.00073873439006	0.000601866202809	0.000517523952656	99.99	99.99	99.99	99.99	1.16306884533e-12	4.81023122773e-12	2.1165017402e-12	4.89781698647e-12	2.69379934256e-12	3.30445301985e-12	2.3461616441e-12	2.33538456602e-12	2.26532302903e-12	1.45303359844e-12	1.79449649407e-12	6.5367093147e-13	1.0864010881e-12	3.3307836579e-13	7.19116191741e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003935.36+401946.4	M31	19.34	19.85	18.92	17.96	16.76	99.99	99.99	99.99	99.99	99.99	99.99	99.99	3.34800939992e-05	4.74187445678e-05	0.000102236665747	0.000192528498793	0.000520931500169	99.99	99.99	99.99	99.99	99.99	99.99	99.99	2.79000783327e-13	7.34794595576e-13	3.23309622053e-13	1.01391734625e-12	5.57654540438e-13	1.14577563257e-12	8.13500699126e-13	1.66095706293e-12	1.61112835104e-12	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
J003936.96+400743.8	M31	18.99	18.99	18.19	17.71	17.21	16.308	15.674	15.573	99.99	99.99	99.99	99.99	4.6215394934e-05	0.00010470081244	0.000200265748135	0.000242379019625	0.000344176029023	0.00047784639845	0.000550427288358	0.000393305894381	99.99	99.99	99.99	99.99	3.85128291116e-13	1.62242994483e-12	7.13869175724e-13	1.98610659308e-12	1.09235862619e-12	1.44244606006e-12	1.02413670264e-12	1.0973834489e-12	1.06446194543e-12	9.39887030012e-13	1.16076048207e-12	5.97804489782e-13	9.93551062017e-13	2.53131635519e-13	5.46511201085e-13	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99
